referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2018-06,2018,06,1.26,2.03,2.48,0.34,-0.16,1.58,0.37,0.33,0.02,0,0.39178999999999997,0.38688,0.012920000000000001,-0.00736,0.32548,0.04995,0.03531,0.00122,0,false,Num201806
2018-07,2018,07,0.33,-0.12,1.54,0.47,-0.6,0.49,0.07,0.31,-0.08,0.08,-0.02316,0.24024,0.017859999999999997,-0.0276,0.10093999999999999,0.009450000000000002,0.03317,-0.00488,0.004560000000000001,false,Num201807
2018-08,2018,08,-0.09,-0.34,0.44,0.56,0.19,-1.22,0.53,0.36,0.25,0.03,-0.06562000000000001,0.06864,0.02128,0.00874,-0.25132,0.07155,0.03852,0.01525,0.00171,false,Num201808
2018-09,2018,09,0.48,0.1,0.37,0.11,-0.02,1.69,0.28,0.38,0.24,-0.07,0.0193,0.05772,0.00418,-0.00092,0.34813999999999995,0.03780000000000001,0.04066,0.014639999999999999,-0.0039900000000000005,false,Num201809
2018-10,2018,10,0.45,0.59,0.14,0.76,0.33,0.92,0.27,0.25,0.04,0.02,0.11387,0.021840000000000002,0.02888,0.01518,0.18952,0.03645,0.02675,0.00244,0.0011400000000000002,false,Num201810
2018-11,2018,11,-0.21,0.39,-0.71,0.48,-0.43,-0.74,-0.71,0.36,0.04,-0.07,0.07527,-0.11076,0.01824,-0.01978,-0.15244,-0.09585,0.03852,0.00244,-0.0039900000000000005,false,Num201811
2018-12,2018,12,0.15,0.44,-0.15,0.57,1.14,-0.54,0.32,0.29,0.21,0.01,0.08492000000000001,-0.0234,0.02166,0.052439999999999994,-0.11124,0.0432,0.03103,0.012809999999999998,0.0005700000000000001,true,Num201812
2019-01,2019,01,0.32,0.9,0.24,0.32,-1.15,0.02,0.26,0.61,0.12,0.04,0.17370000000000002,0.03744,0.01216,-0.052899999999999996,0.0041199999999999995,0.035100000000000006,0.06527,0.007319999999999999,0.0022800000000000003,false,Num201901
2019-02,2019,02,0.43,0.78,0.38,0.2,-0.33,-0.34,0.49,0.18,3.53,0,0.15054,0.05928,0.0076,-0.01518,-0.07004,0.06615,0.01926,0.21533,0,false,Num201902
2019-03,2019,03,0.75,1.37,0.25,0.27,0.45,1.44,0.42,0.16,0.32,-0.22,0.26441000000000003,0.039,0.01026,0.0207,0.29663999999999996,0.0567,0.01712,0.01952,-0.01254,false,Num201903
