referencia,estado,poluente_emitido,quantidade
2013,SAO PAULO,Nitrogênio,85392.01
2019,GOIAS,Material Particulado (MP),62697.24000000004
2019,PERNAMBUCO,Monóxido de carbono (CO),23022.379999999983
2014,AMAZONAS,Monóxido de carbono,1693.6
2020,RONDONIA,Óxidos de nitrogênio (NOx),2900.3999999999996
2019,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),67695.2
2022,MARANHAO,Material Particulado (MP),0.01
2021,PIAUI,Óxidos de nitrogênio (NOx),661.51
2015,MINAS GERAIS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1
2021,SAO PAULO,Óxidos de enxofre (SOx),227245.7500000001
2014,ACRE,Monóxido de carbono (CO),11130.1
2015,MINAS GERAIS,Óxidos de enxofre (SOx),179771.98999999996
2014,MINAS GERAIS,Partículas (PM10),0.01
2013,RIO GRANDE DO NORTE,Monóxido de carbono (CO),13697.310000000005
2015,CEARA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1965
2013,SAO PAULO,Outros fluoretos,24789.6
2021,PIAUI,Óxidos de enxofre (SOx),5.209999999999999
2017,PIAUI,Óxidos de nitrogênio (NOx),48912.1
2019,PARA,Óxidos de enxofre (SOx),24117.65999999999
2016,PARANA,Material Particulado (MP),2160194.6200000024
2016,PERNAMBUCO,Óxidos de enxofre (SOx),226502.50000000003
2014,RIO GRANDE DO SUL,Dióxido de enxofre,11602.279999999999
2016,SAO PAULO,Monóxido de carbono,0.08
2021,RORAIMA,Material Particulado (MP),5.45
2018,TOCANTINS,Material Particulado (MP),8314.95
2018,AMAZONAS,Óxidos de nitrogênio (NOx),18945.629999999994
2013,RIO DE JANEIRO,Fluoreto de hidrogênio (ácido fluorídrico),0.37
2015,RONDONIA,Óxidos de enxofre (SOx),1825.4099999999999
2016,MINAS GERAIS,Desperdícios e resíduos de chumbo,0
2016,AMAZONAS,Partículas (PM10),217.64000000000001
2019,PERNAMBUCO,Material Particulado (MP),96295.42999999995
2021,AMAPA,Óxidos de enxofre (SOx),0.06999999999999999
2015,SERGIPE,Monóxido de carbono (CO),20903670.640000004
2016,BAHIA,Material Particulado (MP),107376.42000000001
2016,SAO PAULO,Monóxido de carbono (CO),1682129.740000003
2014,SANTA CATARINA,Monóxido de carbono (CO),1283690.2100000002
2013,SANTA CATARINA,Óxidos de enxofre (SOx),712482.51
2013,RIO DE JANEIRO,Óxido nitroso,108.61999999999999
2022,AMAZONAS,Material Particulado (MP),51.379999999999995
2016,TOCANTINS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",20
2016,BAHIA,Óxidos de enxofre (SOx),58157.11000000003
2016,AMAZONAS,Óxidos de nitrogênio (NOx),14391454.579999996
2022,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),25.25
2013,RIO DE JANEIRO,Compostos orgânicos voláteis não metânicos(COVNM),0
2013,RIO DE JANEIRO,Cloro,1.79
