referencia,estado,municipio,quantidade
2019,PARANA,FLORESTOPOLIS,999.76
2016,SAO PAULO,SANTA ISABEL,0.22
2017,MINAS GERAIS,GURINHATA,0.35
2020,RIO GRANDE DO SUL,SAO VICENTE DO SUL,4.839999999999999
2013,SAO PAULO,ARTUR NOGUEIRA,49.7
2019,SAO PAULO,CAPAO BONITO,0.01
2014,PARANA,CAMPO LARGO,284.74
2018,RONDONIA,JI-PARANA,14136.409999999998
2015,PARAIBA,AREIA,13.14
2020,MINAS GERAIS,PASSA TEMPO,7.6
2013,MINAS GERAIS,CAMPO BELO,18.46
2016,PARANA,SANTA CRUZ DE MONTE CASTELO,9.89
2013,MINAS GERAIS,GUARANESIA,1189.92
2017,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,285
2014,RIO GRANDE DO SUL,ESTRELA,15
2020,MATO GROSSO DO SUL,CASSILANDIA,214.88
2018,SAO PAULO,CANDIDO MOTA,11.04
2016,SANTA CATARINA,RANCHO QUEIMADO,0.3
2019,SAO PAULO,LIMEIRA,3000.3100000000018
2013,RONDONIA,COLORADO DO OESTE,5.4799999999999995
2017,RIO DE JANEIRO,BARRA DO PIRAI,7314.110000000001
2019,GOIAS,ADELANDIA,1
2014,MINAS GERAIS,SAO GONCALO DO PARA,1012.9599999999999
2015,RIO GRANDE DO SUL,NOVA SANTA RITA,38005.93
2015,SAO PAULO,JALES,5872.15
2021,SAO PAULO,ITAPOLIS,1772.6599999999999
2017,SAO PAULO,NOVA INDEPENDENCIA,602.51
2014,RIO GRANDE DO SUL,BOM JESUS,7.81
2017,SAO PAULO,GUARULHOS,18073.15
2013,ESPIRITO SANTO,BARRA DE SAO FRANCISCO,13.11
2020,MINAS GERAIS,CARMO DO RIO CLARO,2.81
2020,RIO GRANDE DO SUL,PLANALTO,0.01
2019,SANTA CATARINA,LAGES,9668.840000000002
2021,MINAS GERAIS,CAMPESTRE,6.659999999999999
2013,RIO DE JANEIRO,DUQUE DE CAXIAS,32385.429999999997
2016,PARANA,CORONEL DOMINGOS SOARES,52.76
2015,SANTA CATARINA,SAO CARLOS,0.05
2020,RIO GRANDE DO SUL,SENTINELA DO SUL,29.7
2021,SANTA CATARINA,HERVAL D'OESTE,59.72
2020,SAO PAULO,BROTAS,1510.42
2018,RIO GRANDE DO SUL,MAQUINE,85.07
2013,PARANA,IBAITI,51.4
2014,PERNAMBUCO,SANTA MARIA DA BOA VISTA,1.56
2014,PARAIBA,BELEM DO BREJO DO CRUZ,1250
2015,PERNAMBUCO,CARUARU,1955.18
2014,PARANA,NOVA ESPERANCA,9.75
2015,MINAS GERAIS,ITAJUBA,29.599999999999998
2015,RIO GRANDE DO SUL,SAPIRANGA,0.24
2013,PARA,ULIANOPOLIS,6760.2
2017,CEARA,SAO LUIS DO CURU,0.01
2021,RIO GRANDE DO SUL,VIAMAO,387088.47000000003
2013,SAO PAULO,SAO BERNARDO DO CAMPO,294917.70999999996
2021,MINAS GERAIS,PAINS,384.84
2016,SAO PAULO,BENTO DE ABREU,522.6700000000001
2021,SAO PAULO,IGARAPAVA,1343.77
2017,SAO PAULO,UBARANA,528.88
2018,RIO GRANDE DO SUL,MANOEL VIANA,3.28
2020,GOIAS,INDIARA,1805.4099999999999
2018,MINAS GERAIS,SAO VICENTE DE MINAS,613.25
2019,RIO GRANDE DO SUL,PORTAO,775.0300000000001
2016,MINAS GERAIS,LUZ,0.9
2017,SAO PAULO,RIO DAS PEDRAS,537.28
2019,SANTA CATARINA,BALNEARIO PICARRAS,5.05
